Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,Home_clean_sheets_5,Home_goals_conceded_5avg,Away_clean_sheets_5,Away_goals_conceded_5avg,Home_shot_conv_3,Away_shot_conv_3,Home_avg_cards_5,Away_avg_cards_5,Home_comeback_pts_10,Away_comeback_pts_10,h2h_goal_diff
F1,2018-03-18,St Etienne,Guingamp,2,0,H,1,0,H,16,9,6,3,16,12,7,5,2,3,0,0,2.458333333333333,8.116666666666667,0.4,2017,1.5289473684210526,1.1894736842105262,1.6,0.3,1.0,0.2,1.0,1.8,2.0,1.4,0.18748242352279476,0.07406584453579232,0.8,2.0,1.0,0.0,0
F1,2018-03-31,Dijon,Marseille,1,3,A,0,1,A,12,11,2,5,11,15,6,6,2,3,1,0,6.204166666666666,7.962499999999999,1.5000000000000002,2017,1.5289473684210526,1.1894736842105262,1.8,0.2,1.8,0.3,1.0,1.0,2.0,1.2,0.1764550186748228,0.07999520028798271,2.2,2.6,1.0,0.0,0
F1,2018-01-04,Caen,Montpellier,1,3,A,0,2,A,8,9,5,6,22,11,4,4,2,2,0,0,7.233333333333333,13.333333333333336,3.9,2017,1.5289473684210526,1.1894736842105262,1.4,0.3,0.6,0.3,1.0,1.4,2.0,1.2,0.17071921566714632,0.054049671648244736,2.4,1.8,0.0,0.0,0
F1,2018-01-04,Guingamp,Bordeaux,2,1,H,0,0,D,14,15,6,6,12,14,5,5,1,2,0,0,6.537500000000001,15.241666666666667,4.5,2017,1.5289473684210526,1.1894736842105262,0.8,0.2,1.0,0.3,1.0,2.4,3.0,0.6,0.11427591920692512,0.16663889351774702,2.2,1.8,0.0,0.0,0
F1,2018-01-04,Lille,Amiens,0,1,A,0,0,D,15,10,3,2,9,15,3,3,0,2,0,0,6.337500000000001,13.195833333333336,3.900000000000001,2017,1.5289473684210526,1.1894736842105262,1.2,0.2,0.8,0.2,0.0,1.8,1.0,1.2,0.12120110293003666,0.10809934329648947,0.8,1.2,0.0,0.0,0
F1,2018-01-04,Lyon,Toulouse,2,0,H,2,0,H,20,10,5,6,14,9,8,3,1,1,0,0,7.825000000000002,6.891666666666668,0.8,2017,1.5289473684210526,1.1894736842105262,1.0,0.3,0.6,0.2,1.0,1.0,2.0,1.0,0.04166406266275024,0.055550926311696246,1.6,2.6,0.0,0.0,0
F1,2018-01-04,Nantes,St Etienne,0,3,A,0,1,A,20,15,4,8,16,12,6,4,3,0,0,0,7.870833333333334,11.441666666666668,0.6,2017,1.5289473684210526,1.1894736842105262,0.6,0.4,1.0,0.2,1.0,1.0,2.0,0.6,0.04545247943275305,0.11109876680368849,1.2,2.2,0.0,0.0,0
F1,2018-01-04,Strasbourg,Metz,2,2,D,1,1,D,18,11,5,5,16,23,5,1,5,4,1,1,6.679166666666667,14.616666666666662,3.1,2017,1.5289473684210526,1.1894736842105262,1.2,0.4,1.2,0.2,1.0,1.6,0.0,3.4,0.057688979481952965,0.09522449173927533,1.2,1.6,0.0,0.0,0
F1,2018-01-04,Troyes,Nice,0,2,A,0,1,A,11,15,3,6,16,5,8,5,1,0,0,0,6.854166666666665,16.062499999999996,1.2000000000000002,2017,1.5289473684210526,1.1894736842105262,0.4,0.4,2.0,0.3,3.0,0.6,1.0,1.8,0.027024835824122368,0.20586418845395996,2.0,3.0,0.0,1.0,0
F1,2018-04-04,Rennes,Monaco,1,1,D,1,1,D,20,8,7,2,28,17,8,1,0,2,0,0,10.625000000000002,22.308333333333326,3.6,2017,1.5289473684210526,1.1894736842105262,0.8,0.3,2.4,0.3,2.0,1.0,2.0,1.2,0.07142346975216056,0.3447919180774403,1.8,1.4,0.0,0.0,0
