Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,h2h_goal_diff
2013-10-26,Marseille,Reims,2,3,A,0.0,2.0,A,,16.0,8.0,5.0,4.0,13.0,16.0,8.0,5.0,2.0,0.0,0.0,0.0,20.266666666666666,13.69166666666667,0.0,2013,1.4157894736842105,1.0394736842105263,1.5,0.4,0.6,0.16666666666666666,0.0
2013-10-26,Valenciennes,Evian Thonon Gaillard,0,1,A,0.0,0.0,D,,10.0,5.0,2.0,3.0,10.0,11.0,7.0,4.0,1.0,3.0,0.0,0.0,16.458333333333332,20.03333333333333,0.0,2013,1.4157894736842105,1.0394736842105263,1.0,0.16666666666666666,0.75,0.2,0.0
2013-10-26,Guingamp,Ajaccio,2,1,H,0.0,1.0,A,,17.0,13.0,6.0,4.0,19.0,19.0,8.0,2.0,2.0,4.0,0.0,0.0,15.5375,27.941666666666663,0.5,2013,1.4157894736842105,1.0394736842105263,2.2,0.5,0.25,0.0,0.0
2013-10-26,Bastia,Nice,1,0,H,1.0,0.0,H,,9.0,13.0,3.0,4.0,13.0,17.0,4.0,3.0,2.0,3.0,1.0,1.0,21.20833333333333,11.933333333333332,0.0,2013,1.4157894736842105,1.0394736842105263,2.0,0.6,0.4,0.16666666666666666,0.0
2013-10-26,Lorient,Sochaux,2,1,H,1.0,0.0,H,,10.0,7.0,6.0,2.0,18.0,9.0,4.0,3.0,1.0,1.0,0.0,0.0,16.46666666666666,30.695833333333336,1.0,2013,1.4157894736842105,1.0394736842105263,1.5,0.4,0.8,0.0,0.0
2013-10-27,Bordeaux,Montpellier,2,0,H,0.0,0.0,D,,16.0,5.0,7.0,1.0,21.0,9.0,6.0,3.0,3.0,0.0,0.0,1.0,16.999999999999996,14.145833333333329,0.0,2013,1.4157894736842105,1.0394736842105263,1.0,0.3333333333333333,1.5,0.0,0.0
2013-10-27,Monaco,Lyon,2,1,H,2.0,0.0,H,,10.0,7.0,4.0,2.0,12.0,17.0,2.0,6.0,1.0,3.0,0.0,0.0,18.708333333333336,6.633333333333333,0.6000000000000001,2013,1.4157894736842105,1.0394736842105263,2.0,0.6666666666666666,1.5,0.2,0.0
2013-10-27,St Etienne,Paris SG,2,2,D,1.0,0.0,H,,9.0,21.0,3.0,4.0,11.0,12.0,5.0,7.0,2.0,3.0,1.0,0.0,16.354166666666668,14.9625,10.7,2013,1.4157894736842105,1.0394736842105263,1.8,0.5,1.6,0.6666666666666666,0.0
2013-11-01,Paris SG,Lorient,4,0,H,3.0,0.0,H,,17.0,9.0,10.0,2.0,8.0,11.0,6.0,6.0,0.0,0.0,0.0,0.0,10.141666666666666,16.204166666666662,19.4,2013,1.4157894736842105,1.0394736842105263,2.0,0.5,0.6,0.0,0.0
2013-11-02,Sochaux,St Etienne,0,0,D,0.0,0.0,D,,19.0,7.0,5.0,2.0,17.0,10.0,9.0,2.0,2.0,1.0,1.0,1.0,13.5375,20.8,10.3,2013,1.4157894736842105,1.0394736842105263,1.0,0.16666666666666666,1.2,0.3333333333333333,0.0
2013-11-02,Ajaccio,Valenciennes,1,3,A,1.0,1.0,D,,13.0,14.0,5.0,5.0,26.0,20.0,2.0,6.0,2.0,2.0,0.0,0.0,18.379166666666663,7.120833333333334,0.0,2013,1.4157894736842105,1.0394736842105263,1.0,0.14285714285714285,0.4,0.0,0.0
2013-11-02,Evian Thonon Gaillard,Toulouse,2,1,H,0.0,0.0,D,,14.0,9.0,3.0,4.0,18.0,12.0,4.0,4.0,2.0,3.0,0.0,0.0,12.00416666666667,8.55833333333333,12.200000000000005,2013,1.4157894736842105,1.0394736842105263,1.4,0.14285714285714285,1.0,0.2857142857142857,0.0
2013-11-02,Lyon,Guingamp,2,0,H,2.0,0.0,H,,14.0,8.0,7.0,1.0,13.0,9.0,13.0,5.0,1.0,2.0,0.0,1.0,15.500000000000002,20.25,10.9,2013,1.4157894736842105,1.0394736842105263,0.8,0.2857142857142857,0.6,0.16666666666666666,0.0
2013-11-02,Reims,Bastia,4,2,H,2.0,0.0,H,,15.0,12.0,9.0,8.0,14.0,11.0,5.0,4.0,1.0,1.0,0.0,0.0,13.295833333333333,23.991666666666664,10.4,2013,1.4157894736842105,1.0394736842105263,1.0,0.16666666666666666,0.6,0.0,0.0
2013-11-02,Rennes,Marseille,1,1,D,1.0,1.0,D,,11.0,11.0,4.0,3.0,8.0,17.0,6.0,5.0,2.0,1.0,0.0,0.0,13.875000000000002,19.875000000000004,1.2999999999999998,2013,1.4157894736842105,1.0394736842105263,1.4,0.3333333333333333,0.8,0.42857142857142855,0.0
2013-11-03,Nice,Bordeaux,1,2,A,0.0,1.0,A,,8.0,11.0,1.0,4.0,15.0,14.0,7.0,2.0,3.0,2.0,0.0,0.0,16.05,13.325000000000005,0.0,2013,1.4157894736842105,1.0394736842105263,2.0,0.6666666666666666,1.4,0.0,0.0
2013-11-03,Lille,Monaco,2,0,H,1.0,0.0,H,,7.0,15.0,3.0,7.0,19.0,20.0,5.0,8.0,2.0,2.0,0.0,0.0,9.16666666666667,25.79166666666666,1.1,2013,1.4157894736842105,1.0394736842105263,1.6,0.6666666666666666,1.6,0.3333333333333333,0.0
2013-11-03,Montpellier,Nantes,1,1,D,0.0,1.0,A,,18.0,5.0,5.0,2.0,4.0,20.0,6.0,4.0,0.0,1.0,0.0,0.0,14.533333333333331,16.625,0.0,2013,1.4157894736842105,1.0394736842105263,1.4,0.2857142857142857,1.2,0.3333333333333333,0.0
2013-11-08,Monaco,Evian Thonon Gaillard,1,1,D,1.0,1.0,D,,15.0,9.0,2.0,5.0,8.0,21.0,12.0,2.0,1.0,2.0,0.0,0.0,16.579166666666666,3.2625,0.4,2013,1.4157894736842105,1.0394736842105263,1.6,0.7142857142857143,0.8,0.3333333333333333,0.0
2013-11-09,Bastia,Rennes,1,0,H,1.0,0.0,H,,15.0,10.0,5.0,3.0,16.0,10.0,9.0,4.0,1.0,2.0,0.0,0.0,18.262500000000003,23.52083333333333,0.0,2013,1.4157894736842105,1.0394736842105263,1.8,0.6666666666666666,1.4,0.2857142857142857,0.0
2013-11-09,Guingamp,Lille,0,0,D,0.0,0.0,D,,9.0,13.0,1.0,3.0,20.0,18.0,4.0,5.0,1.0,3.0,1.0,0.0,9.758333333333336,25.695833333333336,8.8,2013,1.4157894736842105,1.0394736842105263,2.4,0.5714285714285714,0.8,0.42857142857142855,0.0
2013-11-09,Lorient,Reims,0,0,D,0.0,0.0,D,,18.0,9.0,3.0,1.0,12.0,9.0,10.0,4.0,0.0,1.0,1.0,0.0,12.095833333333331,29.816666666666663,7.2,2013,1.4157894736842105,1.0394736842105263,1.6,0.5,1.0,0.2857142857142857,0.0
2013-11-09,Paris SG,Nice,3,1,H,1.0,0.0,H,,16.0,14.0,6.0,2.0,11.0,14.0,6.0,10.0,0.0,1.0,0.0,0.0,8.404166666666667,19.71250000000001,4.4,2013,1.4157894736842105,1.0394736842105263,2.6,0.5714285714285714,0.4,0.14285714285714285,0.0
2013-11-09,Toulouse,Ajaccio,1,1,D,1.0,1.0,D,,25.0,4.0,7.0,2.0,11.0,19.0,11.0,0.0,2.0,2.0,0.0,0.0,11.091666666666669,14.549999999999995,5.300000000000001,2013,1.4157894736842105,1.0394736842105263,0.8,0.3333333333333333,0.4,0.0,0.0
2013-11-09,Valenciennes,Montpellier,1,1,D,1.0,0.0,H,,11.0,11.0,3.0,2.0,20.0,17.0,8.0,7.0,3.0,4.0,0.0,1.0,8.399999999999999,23.562500000000004,3.4000000000000004,2013,1.4157894736842105,1.0394736842105263,0.4,0.14285714285714285,1.2,0.0,0.0
2013-11-10,Bordeaux,Nantes,0,3,A,0.0,1.0,A,,16.0,11.0,7.0,4.0,7.0,13.0,8.0,4.0,1.0,2.0,0.0,0.0,13.554166666666667,20.39583333333334,7.900000000000001,2013,1.4157894736842105,1.0394736842105263,1.4,0.42857142857142855,1.2,0.2857142857142857,0.0
